sleeveId,ポケスリ商品名,楽天商品名,価格,ショップ,matchScore,採用理由,確認結果
77832,シェイミ,ポケモンセンターオリジナル ポケモンカードゲーム デッキシールド スリーブ シェイミ 代引不可商品,1680,WFS(World Free Store),0.9,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
104300,energy color,【中古】サプライ ポケモンカードゲーム デッキシールド(スリーブ) energy color ポケモンセンター・他限定,5630,ネットショップ駿河屋 楽天市場店,1.1,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
106069,ダルマッカ,ポケモンセンターオリジナル ポケモンカードゲーム デッキシールド スリーブ ダルマッカ＆ヒトモシ＆ペロッパフ＆ボクレー 代引不可商品,1780,WFS(World Free Store),0.9,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
106083,ヒトモシ,ポケモンセンターオリジナル ポケモンカードゲーム デッキシールド スリーブ ダルマッカ＆ヒトモシ＆ペロッパフ＆ボクレー 代引不可商品,1780,WFS(World Free Store),0.9,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
106571,ポケモンセンターオーサカ,【中古】サプライ ポケモンカードゲーム デッキシールド(スリーブ) ビリケンさんピカチュウ ポケモンセンターオーサカDX・ポケモンセンターオーサカ限定,2130,ネットショップ駿河屋 楽天市場店,0.9,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
114590,ピカチュウがいっぱい,【中古】サプライ ポケモンカードゲーム デッキシールド(スリーブ) ピカチュウがいっぱい ポケモンセンター限定,3250,ネットショップ駿河屋 楽天市場店,1.1,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
114613,ゲームドット ゼクロム,ポケモンカード デッキシールド ゲームドット ゼクロム 32枚入り 未開封スリーブ 【中古】,6360,トレカ通販 トレトク楽天市場店,0.9,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
116211,ケルディオ,ポケモンセンターオリジナル ポケモンカードゲーム デッキシールド スリーブ ケルディオ 代引不可商品,1480,WFS(World Free Store),0.9,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
130125,イーブイ・リーフィア・グレイシア,【中古】サプライ ポケモンカードゲーム デッキシールド(スリーブ) イーブイ・リーフィア・グレイシア ポケモンセンター限定,1750,ネットショップ駿河屋 楽天市場店,1.1,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
131580,カミツレver.2,【中古】サプライ ポケモンカードゲーム デッキシールド(スリーブ) カミツレver.2 アニメイト・ポケモンセンター限定,5250,ネットショップ駿河屋 楽天市場店,1.1,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
134130,ゲノセクト,【新品】ポケモンカードゲーム オフィシャルデッキシールド ゲノセクト パック 【代金引換不可】ポケモン　32枚入　本体サイズ :約 W85 x D12 x H140 mm (うち、ヘッダー30mm) 大切なカードをキズから守る,5003,ヨツバ商店 楽天市場店,1.1,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
134734,ハリマロン・フォッコ・ケロマツ,ポケモンカード デッキシールド ハリマロン・フォッコ・ケロマツ 32枚入り 未開封スリーブ 【中古】,1330,トレカ通販 トレトク楽天市場店,0.9,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
135298,ニャスパー・ニャオニクス,ポケモンセンターオリジナル ポケモンカードゲーム デッキシールド スリーブ のんびりじゃらし ニャスパー ニャオニクス 代引不可商品,1480,WFS(World Free Store),0.9,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
135441,メガエルレイド,ポケモンカードゲーム デッキシールド 墨絵列伝 メガエルレイド,2520,フルアヘッド,0.9,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
135823,メガアブソル,ポケモンカード デッキシールド with elegance メガアブソル 64枚入り 未開封スリーブ 【中古】,920,トレカ通販 トレトク楽天市場店,0.9,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
136219,メガハッサム,ポケモンカードゲーム デッキシールド メガハッサム,3020,フルアヘッド,0.9,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
136226,ヤドン,【中古】サプライ ポケモンカードゲーム デッキシールド(スリーブ) ヤドン ポケモンセンター限定,4380,ネットショップ駿河屋 楽天市場店,1.1,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
190181,色違いのメガサーナイト,【中古】サプライ ポケモンカードゲーム デッキシールド(スリーブ) 『色違いのメガサーナイト』ポケモンセンター限定,10000,ネットショップ駿河屋 楽天市場店,1.1,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
190211,もふもふ,【中古】サプライ ポケモンカードゲーム デッキシールド(スリーブ) 『もふもふ』ポケモンセンター限定,3000,ネットショップ駿河屋 楽天市場店,1.1,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
190433,メガクチート,【中古】サプライ ポケモンカードゲーム デッキシールド(スリーブ) 『メガクチート』 ポケモンセンター限定,5750,ネットショップ駿河屋 楽天市場店,1.1,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
190440,コイン柄,ポケモンカード デッキシールド コイン柄 32枚入り 未開封スリーブ 【中古】,2320,トレカ通販 トレトク楽天市場店,0.9,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
190457,カスミ,【中古】サプライ ポケモンカードゲーム デッキシールド(スリーブ) 『カスミ』 ポケモンセンター限定,3750,ネットショップ駿河屋 楽天市場店,1.1,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
190587,モクロー・ニャビー・アシマリ,【中古】サプライ ポケモンカードゲーム デッキシールド(スリーブ) モクロー・ニャビー・アシマリ,1250,ネットショップ駿河屋 楽天市場店,1.1,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
190594,団員ごっこピカチュウ スカル団,ポケモンカードゲーム デッキシールド「団員ごっこピカチュウ スカル団」,6580,フルアヘッド,0.9,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
190686,バトルパートナー,ポケモンカードゲーム デッキシールド ナンジャモ【バトルパートナーズ】,1420,フルアヘッド,0.9,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
191126,アローラキュウコン＆アローラロコン,ポケモンカードゲーム デッキシールド「アローラキュウコン＆ アローラロコン」,3520,フルアヘッド,0.9,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
191133,ポケモンライド,ポケモンカード デッキシールド ポケモンライド 64枚入り 未開封スリーブ 【中古】,1100,トレカ通販 トレトク楽天市場店,0.9,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
191188,ルガルガン,【中古】サプライ ポケモンカードゲーム デッキシールド(スリーブ) ルガルガン,2130,ネットショップ駿河屋 楽天市場店,1.1,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
191423,マーシャドー,【中古】サプライ ポケモンカードゲーム デッキシールド(スリーブ) マーシャドー,1730,ネットショップ駿河屋 楽天市場店,1.1,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
191430,スイレン&ヨワシ,【中古】サプライ ポケモンカードゲーム デッキシールド(スリーブ) スイレン＆ヨワシ ポケモンカードジム限定,2130,ネットショップ駿河屋 楽天市場店,1.1,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
191461,ミミッキュいっぱい,ポケモンカードゲーム デッキシールド ミミッキュいっぱい,3820,フルアヘッド,0.9,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
191621,シルヴァディ,ポケモンカードゲーム デッキシールド シルヴァディ,3520,フルアヘッド,0.9,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
191881,ウルトラサン・ウルトラムーン,ポケモンカードゲーム デッキシールド ウルトラサン・ウルトラムーン,1320,フルアヘッド,0.9,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
191898,シロナの全力,【中古】サプライ ポケモンカードゲーム デッキシールド(スリーブ) シロナの全力 ポケモンカードジム限定,8630,ネットショップ駿河屋 楽天市場店,1.1,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
191911,デンジ,【中古】サプライ ポケモンカードゲーム デッキシールド(スリーブ) デンジ ポケモンセンター限定,3750,ネットショップ駿河屋 楽天市場店,1.1,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
191928,ルカリオの波動,【中古】サプライ ポケモンカードゲーム デッキシールド(スリーブ) ルカリオの波動 ポケモンセンター限定,6000,ネットショップ駿河屋 楽天市場店,1.1,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
191942,エーフィ&ブラッキー フラワー,ポケモンカードゲーム デッキシールド エーフィ＆ブラッキー フラワー,6580,フルアヘッド,0.9,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
226163,目覚めし光,ポケモンカードゲーム デッキシールド 目覚めし光,3820,フルアヘッド,0.9,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
226446,ラティアス・ラティオス,【中古】サプライ ポケモンカードゲーム デッキシールド(スリーブ) ラティアス・ラティオス ポケモンセンター限定,1980,ネットショップ駿河屋 楽天市場店,1.1,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
226460,スケッチの時間,ポケモンカードゲーム デッキシールド スケッチの時間,3020,フルアヘッド,0.9,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
227573,ぼうしをかぶったピカチュウ　オリジナル,ポケモンカードゲーム デッキシールド ぼうしをかぶったピカチュウ オリジナル,6580,フルアヘッド,0.9,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
227597,ぼうしをかぶったピカチュウ　シンオウ,【中古】サプライ ポケモンカードゲーム デッキシールド(スリーブ) ぼうしをかぶったピカチュウ シンオウ ポケモンセンター限定,4750,ネットショップ駿河屋 楽天市場店,1.1,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
227627,ぼうしをかぶったピカチュウ　アローラ,【中古】サプライ ポケモンカードゲーム デッキシールド(スリーブ) ぼうしをかぶったピカチュウ アローラ ポケモンセンター限定,7000,ネットショップ駿河屋 楽天市場店,1.1,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
228532,イーブイポンチョシリーズ,ポケモンカード デッキシールド イーブイポンチョシリーズ GC 64枚入り 未開封スリーブ 【中古】,8520,トレカ通販 トレトク楽天市場店,0.9,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
228563,イーブイポンチョシリーズ GC,ポケモンカード デッキシールド イーブイポンチョシリーズ GC 64枚入り 未開封スリーブ 【中古】,8520,トレカ通販 トレトク楽天市場店,0.9,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
243825,百ポケ夜行の図,【中古】サプライ ポケモンカードゲーム デッキシールド(スリーブ) 百ポケ夜行の図 ポケモンセンター限定,6250,ネットショップ駿河屋 楽天市場店,1.1,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
243832,百ポケ夜行のポケ紋,ポケモンカードゲーム デッキシールド 百ポケ夜行のポケ紋,5880,フルアヘッド,0.9,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
246208,ゲッコウガ＆ゾロアーク TAG TEAM GX,ポケモンカードゲーム デッキシールド ゲッコウガ&ゾロアーク TAG TEAM GX,4000,優良品館,1.1,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
246307,レックウザ CL2019,【中古】サプライ ポケモンカードゲーム デッキシールド(スリーブ) レックウザ CL2019 チャンピオンズリーグ2019 千葉限定,4250,ネットショップ駿河屋 楽天市場店,1.1,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
246536,ピカチュウフェイス ver.2,ポケモンカードゲーム デッキシールド ピカチュウフェイス ver.2,2020,フルアヘッド,0.9,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
246635,モンスターボール,【中古】サプライ ポケモンカードゲーム デッキシールド(スリーブ) モンスターボール,1630,ネットショップ駿河屋 楽天市場店,1.1,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
246758,おひるねびより,ポケモンカードゲーム デッキシールド おひるねびより 64枚入り,2480,K and Y雑貨店 楽天市場店,1.1,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
246833,クチート,【中古】サプライ ポケモンカードゲーム デッキシールド(スリーブ) クチート ポケモンセンター限定,4630,ネットショップ駿河屋 楽天市場店,1.1,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
264035,UB ULTRA GRAPHIX カケラ,ポケモンカードゲーム デッキシールド UB ULTRA GRAPHIX カケラ,1820,フルアヘッド,0.9,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
265025,BL Pokemon Black,ポケモンカードゲーム デッキシールド BL Pokemon Black,3820,フルアヘッド,0.9,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
266442,プテラ,ポケモンカード デッキシールド プテラ 64枚入り 未開封スリーブ 【中古】,2370,トレカ通販 トレトク楽天市場店,0.9,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
266473,リーリエ　祭壇での儀式,【中古】サプライ ポケモンカードゲーム デッキシールド(スリーブ) リーリエ 祭壇での儀式,2130,ネットショップ駿河屋 楽天市場店,1.1,必須条件をすべて満たす候補が1件だけで、主要語がすべて一致しました,
