"sleeveId","ポケスリ商品名","楽天商品名","価格","ショップ","matchScore","reviewReason","確認結果"
"100548","レシラム","【新品】 ポケモンカードゲーム デッキシールド ◆レシラム◆ スリーブ プロテクター 64枚入り","780","カメ本舗","0.9","必須条件を満たす候補が複数あるため要確認です",""
"100555","ゼクロム","ポケモンカードゲーム デッキシールド ゼクロム 2025年6月6日新発売","880","P-G-shop","0.9","必須条件を満たす候補が複数あるため要確認です",""
"100654","エーフィ・ブラッキー","海外ポケモンセンター限定 ポケモンカードゲーム デッキシールド スリーブ エーフィ&ブラッキー タイムレスフレンズ ブラッキー 並行輸入品 代引不可商品","3480","WFS(World Free Store)","0.9","必須条件を満たす候補が複数あるため要確認です",""
"102337","ツタージャ・ポカブ・ミジュマル","ポケモンセンターオリジナル ポケモンカードゲーム デッキシールド スリーブ ツタージャ＆ポカブ＆ミジュマル 代引不可商品","1780","WFS(World Free Store)","0.9","必須条件を満たす候補が複数あるため要確認です",""
"104331","カミツレ","ポケモンカードゲーム デッキシールド カミツレの休日","1020","フルアヘッド","0.9","必須条件を満たす候補が複数あるため要確認です",""
"104348","ゾロア・ゾロアーク","ポケモンセンターオリジナル ポケモンカードゲーム デッキシールド スリーブ ゾロアーク ヒスイのすがた 代引不可商品","1280","WFS(World Free Store)","0.9","必須条件を満たす候補が複数あるため要確認です",""
"115566","レックウザ","ポケモンカードゲーム デッキシールド スリーブ ダイマックス レックウザ 代引不可商品","1680","WFS(World Free Store)","0.9","必須条件を満たす候補が複数あるため要確認です",""
"116174","シロナ","ポケモンカードゲーム デッキシールド シロナの全力","8380","フルアヘッド","0.9","必須条件を満たす候補が複数あるため要確認です",""
"123776","フウロ","【中古】 ポケモンカードゲーム オフィシャルデッキシールド (フウロ) 62枚","7856","バリューコネクト","0.9","必須条件を満たす候補が複数あるため要確認です",""
"125480","ルギア","ポケモンカードゲーム デッキシールド スリーブ ルギア＆レジエレキ＆レジドラゴ 代引不可商品","1480","WFS(World Free Store)","0.9","必須条件を満たす候補が複数あるため要確認です",""
"130354","デオキシス・ボルトロス","【中古】（非常に良い）ポケモンカードゲーム オフィシャルデッキシールド デオキシス・ボルトロス","5080","GoodLifeStore","1.1","必須条件を満たす候補が複数あるため要確認です",""
"131597","レッド＆ブルー","【中古】サプライ ポケモンカードゲーム デッキシールド(スリーブ) レッド・グリーン アニメイト・ポケモンセンター限定","4130","ネットショップ駿河屋 楽天市場店","0.94","ポケスリ側の商品名の主要語が一部しか一致しません",""
"134918","メガリザードン","ポケモンカードゲーム [デッキシールド /メガリザードンX/スリーブ 64枚]","980","REALiZE トレカ&ホビー楽天市場店","0.9","必須条件を満たす候補が複数あるため要確認です",""
"135021","メガルカリオ","ポケモンカードゲーム デッキシールド メガルカリオ 64枚入り カードスリーブ カード保護袋 スタンダードデッキ対応 ハーフデッキ対応","980","インポートショップ アリス","0.9","必須条件を満たす候補が複数あるため要確認です",""
"135175","ゲッコウガ","ポケモン ポケモンカードゲーム デッキシールド メガゲッコウガ （ZC172766）","880","でじたみん 楽天市場店","0.9","必須条件を満たす候補が複数あるため要確認です",""
"135427","メガレックウザ","【中古】（非常に良い）ポケモンカードゲーム デッキシールド メガレックウザ","4968","GoodLifeStore","1.1","必須条件を満たす候補が複数あるため要確認です",""
"135595","ときはなたれしフーパ","【中古】ポケモンカードゲーム デッキシールド ときはなたれしフーパ","4680","ハッピーストア藤岡","0.9","必須条件を満たす候補が複数あるため要確認です",""
"135830","MI","ポケモンセンターオリジナル ポケモンカードゲーム デッキシールド スリーブ プレミアム グロス Midnight Agent the cinema インテレオン 代引不可商品","1780","WFS(World Free Store)","0.9","必須条件を満たす候補が複数あるため要確認です",""
"168876","ポケ紋","ポケモンカードゲーム デッキシールド 百ポケ夜行のポケ紋","5880","フルアヘッド","0.9","必須条件を満たす候補が複数あるため要確認です",""
